"","Row.names","baseMean","pvalue","padj","T1-2442","T31","T32","T33","T34","T1-5100","T2-5101","T3-5230","T4-5329","T5-5330","Significance"
"Nlrc3","ENSRNOG00000024210 - Nlrc3",33.2946325199478,0.000159772274289283,0.00093488201032282,26.0579192228813,48.5703708020591,56.9826709198519,66.5248539514265,67.8273660471767,13.9806544062373,1.40774118545077,16.4102736482434,20.147895819295,15.0365791968564,"p < 0.001"
"Otop1","ENSRNOG00000028423 - Otop1",323.23813236228,0.00985267660938788,0.0242581496941607,290.980097988841,456.267119655707,928.817535993586,277.978854011318,633.055416440316,13.9806544062373,28.1548237090155,134.564243915596,116.410064733704,352.17251276848,"p < 0.05"
"Fam20a","ENSRNOG00000003969 - Fam20a",57.1578567599836,3.79798657961743e-06,5.23289905802629e-05,42.7060342819443,97.1407416041183,98.2951073367445,105.727000029946,113.045610078628,39.9447268749638,8.44644711270464,13.9487326010069,24.6252060013605,27.6989616784198,"p < 0.001"
"Lgi2","ENSRNOG00000066201 - Lgi2",47.3031217679938,0.000293623999740964,0.00150607899486905,33.2962301181261,78.0069591669435,81.200306060789,95.035505644895,90.4364880629023,37.9474905312156,4.22322355635232,6.56410945929736,25.7445335468769,20.5763715325404,"p < 0.05"
"Clcnka","ENSRNOG00000052368 - Clcnka",59.3794211763717,0.00122552361682868,0.00453504861599022,33.2962301181261,122.16184171427,141.032110526633,45.1418651813251,133.599357365651,10.984799890615,7.74257651997926,9.02565050653387,42.5344467296227,48.2753332109602,"p < 0.05"
"Notum","ENSRNOG00000036680 - Notum",806.726703412408,0.000242055087301882,0.0012955121174903,794.042705208355,1099.45657542843,2171.03976204636,732.961337286253,1662.79815552018,79.8894537499276,128.808318468746,180.513010130677,369.378090020408,848.379626264743,"p < 0.05"
"Npr2","ENSRNOG00000015991 - Npr2",144.398823953395,1.7421157460392e-07,4.41147705724842e-06,91.926548369609,192.809653789992,346.1697258381,275.602966370196,249.728029537332,69.9032720311866,33.7857884508186,34.4615746613111,64.9209976399505,84.6796828454547,"p < 0.001"
"Snx32","ENSRNOG00000026527 - Snx32",15.4813467902269,7.6958355873445e-05,0.000531132488432008,13.7527907009651,22.0774412736632,28.491335459926,38.014202257958,21.5814346513744,1.99723634374819,5.6309647418031,5.74359577688519,11.1932754551639,6.33119124078166,"p < 0.001"
"Cacna1c","ENSRNOG00000007090 - Cacna1c",33.48544172526,2.4023715464883e-08,9.0250104755291e-07,37.639216655273,45.6267119655707,45.5861367358815,72.4645730542325,66.7996786828256,11.9834180624891,14.7812824472331,6.56410945929736,16.7899131827458,16.6193770070519,"p < 0.001"
"Zfp692","ENSRNOG00000002682 - Zfp692",592.056617908508,2.21769626036949e-12,3.6975724502947e-10,610.913439558661,1008.20315149729,1079.82161393119,1026.38346096487,1017.41049070765,143.80101674987,131.623800839647,278.974652020138,277.593231288064,345.841321527698,"p < 0.001"
"Iglc1","ENSRNOG00000058590 - Iglc1",17.3446809062249,1.01948263970262e-07,2.8436283628848e-06,13.7527907009651,47.0985413838149,25.6422019139334,28.5106516934685,42.1351819383977,5.99170903124457,0.703870592725387,1.64102736482434,5.59663772758194,2.37419671529312,"p < 0.001"
"Wfdc18","ENSRNOG00000037097 - Wfdc18",17.9043944131732,0.000319911106218509,0.0016043125735642,12.3051285219162,17.6619530189306,51.2844038278667,14.2553258467343,67.8273660471767,0,1.40774118545077,0,5.59663772758194,8.70538795607479,"p < 0.05"
