"","unique_genes","Entrez","Ensembl","Symbols"
"25123",0.756506361808161,"25123","ENSRNOG00000017628","Tagln"
"307128",0.756271305280275,"307128","ENSRNOG00000018500","Frmd4a"
"678772",0.755736746860115,"678772","ENSRNOG00000047453","Casd1"
"24179",0.75482245299003,"24179","ENSRNOG00000018445","Agt"
"63888",0.754315143014103,"63888","ENSRNOG00000009736","A4galt"
"100363111",0.752991558114026,"100363111","ENSRNOG00000020832","C2cd4d"
"306805",0.75200938339178,"306805","ENSRNOG00000015410","Aspn"
"116724",0.750843434011107,"116724","ENSRNOG00000016724","Epb41l3"
"246172",0.750716716905673,"246172","ENSRNOG00000012512","Nexn"
"246262",0.749983848686276,"246262","ENSRNOG00000007202","Sema3d"
"363425",0.749567585295813,"363425","ENSRNOG00000057713","Cav2"
"686117",0.749184015724413,"686117","ENSRNOG00000004606","Meis1"
"60660",0.748609854364041,"60660","ENSRNOG00000018851","Ppp2r2b"
"100910940",0.74782484159931,"100910940","ENSRNOG00000014125","Evi2b"
"686809",0.747742463806012,"686809","ENSRNOG00000017448","Exoc3l2"
"25046",0.747591641833469,"25046","ENSRNOG00000004405","Pigr"
"311592",0.747144824425226,"311592","ENSRNOG00000014424","Kiaa1755"
"192245",0.746827438578302,"192245","ENSRNOG00000020922","Hspb6"
"171390",0.74667477777967,"171390","ENSRNOG00000045677","Nlrp6"
"287989",0.745027578529002,"287989","ENSRNOG00000031801","Ephb3"
"497929",0.743672452497646,"497929","ENSRNOG00000063443","Pirt"
"301012",0.741615364562633,"301012","ENSRNOG00000020579","Col7a1"
"64157",0.74133500511221,"64157","ENSRNOG00000014613","Ddah1"
"291966",0.739286271336029,"291966","ENSRNOG00000016890","Tppp3"
"100362572",0.738454523188884,"100362572","ENSRNOG00000003285","Mpv17l"
"314401",0.738357067043294,"314401","ENSRNOG00000008728","Unc79"
"29316",0.737571247213333,"29316","ENSRNOG00000002922","Adora2b"
"501164",0.736990179471524,"501164","ENSRNOG00000037793","Cdk5r2"
"499980",0.736668095307971,"499980","ENSRNOG00000012932","Ccdc146"
"680047",0.73410897494264,"680047","ENSRNOG00000020072","Pcdhb9"
"25229",0.733811108294092,"25229","ENSRNOG00000018385","Chrm1"
"296184",0.733766413766064,"296184","ENSRNOG00000005792","Ankef1"
"313040",0.733760468604228,"313040","ENSRNOG00000007057","Csmd2"
"29691",0.733533206978047,"29691","ENSRNOG00000036828","Pde1b"
"245708",0.733477297495422,"245708","ENSRNOG00000015724","Gucy2g"
"286912",0.73340667515894,"286912","ENSRNOG00000027139","Krt20"
"301039",0.733143923388312,"301039","ENSRNOG00000026951","Susd5"
"85253",0.731814088113355,"85253","ENSRNOG00000017223","Plg"
"290551",0.730647772445071,"290551","ENSRNOG00000015859","Chdh"
"25122",0.730276023065156,"25122","ENSRNOG00000019368","Scnn1a"
"691857",0.729454023809041,"691857","ENSRNOG00000066086","Pygo1"
"60566",0.72919754286353,"60566","ENSRNOG00000020245","Syt8"
"500973",0.729155553375069,"500973","ENSRNOG00000039390","Slc37a2"
"64444",0.725806609540403,"64444","ENSRNOG00000012556","Isl1"
"140473",0.725432897293186,"140473","ENSRNOG00000019472","Ackr2"
"406005",0.725219531333253,"406005","ENSRNOG00000064497","Olr1585"
"116676",0.721822066839789,"116676","ENSRNOG00000055049","Aldh1a2"
"266762",0.721531142297289,"266762","ENSRNOG00000013426","Mrgprf"
"291023",0.72054472792415,"291023","ENSRNOG00000016099","Id4"
"293561",0.719922854093569,"293561","ENSRNOG00000014859","Rnf152"
"301709",0.719298503448721,"301709","ENSRNOG00000017065","Arhgap28"
"291908",0.718551176260564,"291908","ENSRNOG00000028649","Tox3"
"362481",0.718123777084073,"362481","ENSRNOG00000010777","Tox"
"24477",0.717436375190282,"24477","ENSRNOG00000002158","Ibsp"
"50688",0.716448693516584,"50688","ENSRNOG00000004518","Cacnb1"
"84395",0.7148772007,"84395","ENSRNOG00000004626","Slc34a2"
"29313",0.71389933458263,"29313","ENSRNOG00000019138","Clec11a"
"499821",0.713445787356735,"499821","ENSRNOG00000004783","Fam171b"
"116600",0.711137488617512,"116600","ENSRNOG00000018378","Cacnb2"
"291567",0.710946226498632,"291567","ENSRNOG00000017503","Ppargc1b"
"305854",0.710603990048915,"305854","ENSRNOG00000013287","Sall2"
"100361556",0.710275406894308,"100361556","ENSRNOG00000047072","Ly6m"
"24785",0.709972264728726,"24785","ENSRNOG00000015306","Slc9a4"
"688510",0.709664820272012,"688510","ENSRNOG00000010791","Ripor3"
"116745",0.708828672412052,"116745","ENSRNOG00000008078","Kcnh6"
"309533",0.707812837279912,"309533","ENSRNOG00000011313","Sorcs1"
"310315",0.707055784601697,"310315","ENSRNOG00000011440","Ccdc39"
"361286",0.70693357332866,"361286","ENSRNOG00000016873","Msrb2"
"362378",0.705149626723767,"362378","ENSRNOG00000007947","Fam13a"
"290856",0.701932291084889,"290856","ENSRNOG00000030524","Defa24"
"362119",0.70127715705984,"362119","ENSRNOG00000018899","C5"
"29434",0.698502585112085,"29434","ENSRNOG00000005404","Rasgrp1"
"685243",0.696968618743981,"685243","ENSRNOG00000011478","Ackr4"
"282587",0.695169266048966,"282587","ENSRNOG00000061845","Cttnbp2"
"498582",0.693502273638523,"498582","ENSRNOG00000029662","Wdfy4"
"114108",0.691731152442515,"114108","ENSRNOG00000012658","Pdlim3"
"497938",0.689475424745353,"497938","ENSRNOG00000058939","Spem2"
