"","unique_genes","Entrez","Ensembl","Symbols"
"102553842",1.05193720736915,"102553842","ENSRNOG00000069591","Hoxd11"
"100913063",1.050360000324,"100913063","ENSRNOG00000020125","Cd79a"
"117544",1.04626323559866,"117544","ENSRNOG00000002128","Ppat"
"680697",1.04442062679756,"680697","ENSRNOG00000043414","Fcrl5"
"100314067",1.04390571994765,"100314067","ENSRNOG00000035595","Mir429"
"100911361",1.04171058672656,"100911361","ENSRNOG00000027006","LOC100911361"
"363425",1.0394763080428,"363425","ENSRNOG00000057713","Cav2"
"313831",1.03624977511218,"313831","ENSRNOG00000004706","Vit"
"315833",1.03479458059575,"315833","ENSRNOG00000006224","Klhl31"
"289515",1.03452137007625,"289515","ENSRNOG00000002782","Epgn"
"246323",1.02796056760787,"246323","ENSRNOG00000004708","Aard"
"25503",1.02613061363218,"25503","ENSRNOG00000001031","Ocm"
"171410",1.02557876338947,"171410","ENSRNOG00000011381","Acsbg1"
"313373",1.0223013360639,"313373","ENSRNOG00000042224","Cyp2j10"
"317517",1.02078973782188,"317517","ENSRNOG00000069252","Ptchd1"
"498287",1.01179743618221,"498287","ENSRNOG00000038286","Slamf6"
"81916",1.00739113701632,"81916","ENSRNOG00000008161","Pdzk1ip1"
"314997",0.996547760831081,"314997","ENSRNOG00000025300","Fer1l6"
"29260",0.995662956766928,"29260","ENSRNOG00000010522","Tlr4"
"29739",0.993633286982,"29739","ENSRNOG00000013409","Gclm"
"641603",0.989427716580639,"641603","ENSRNOG00000045821","Slc41a3"
"301226",0.986338832167989,"301226","ENSRNOG00000012303","Apobec2"
"29210",0.98353547764151,"29210","ENSRNOG00000030285","Epha3"
"689415",0.982847324251155,"689415","ENSRNOG00000043098","Mt2A"
"29373",0.973106416918902,"29373","ENSRNOG00000071010","Bmp2"
"25375",0.972377496145414,"25375","ENSRNOG00000002331","Aldh3a1"
"120102526",0.972115717495919,"120102526","ENSRNOG00000065855","LOC120102526"
"306251",0.970001086645411,"306251","ENSRNOG00000033386","Itih1"
"25644",0.969099351500514,"25644","ENSRNOG00000013717","Bmp6"
"304458",0.965523112840569,"304458","ENSRNOG00000038406","Tmem132b"
"24247",0.960845510074069,"24247","ENSRNOG00000002265","Casr"
"306570",0.951349468839152,"306570","ENSRNOG00000018241","Ank1"
"64022",0.948571643249103,"64022","ENSRNOG00000002728","Btc"
"291936",0.944191997137012,"291936","ENSRNOG00000018268","Hhip"
"309962",0.938873074891445,"309962","ENSRNOG00000010280","Pde8b"
"64444",0.938093771324688,"64444","ENSRNOG00000012556","Isl1"
"57302",0.936694124568568,"57302","ENSRNOG00000009260","Cnr2"
"25715",0.935467324893659,"25715","ENSRNOG00000019550","Slc11a2"
"690880",0.931573055644968,"690880","ENSRNOG00000023008","Fam131c"
"103693239",0.922382544122032,"103693239","ENSRNOG00000069663","Arl4c"
"362263",0.917167083877634,"362263","ENSRNOG00000032656","Ptprt"
"84426",0.913025309429264,"84426","ENSRNOG00000013166","Wnt4"
"691317",0.912724225850836,"691317","ENSRNOG00000008911","Draxin"
"103692025",0.912709106247863,"103692025","ENSRNOG00000066703","Lhfpl3"
"54242",0.912300145477689,"54242","ENSRNOG00000011181","Cpa3"
"316400",0.907027882826078,"316400","ENSRNOG00000013388","Pgap1"
"24330",0.906850343956479,"24330","ENSRNOG00000019422","Egr1"
"498281",0.90508731623244,"498281","ENSRNOG00000004029","Nectin4"
"315820",0.903396014760669,"315820","ENSRNOG00000008356","Myo5c"
"297748",0.901951095695362,"297748","ENSRNOG00000006110","Jph1"
"361319",0.892774806449377,"361319","ENSRNOG00000013116","Spink5"
"498232",0.892018716787247,"498232","ENSRNOG00000028250","Lax1"
"64826",0.891684418422136,"64826","ENSRNOG00000062314","Foxq1"
"316201",0.887622391014434,"316201","ENSRNOG00000053945","Daam2"
"689914",0.886521186457292,"689914","ENSRNOG00000029141","Trabd2b"
"311047",0.881376126692571,"311047","ENSRNOG00000004772","Cytip"
"170840",0.879839945920591,"170840","ENSRNOG00000003872","Slc40a1"
"498246",0.876546670093187,"498246","ENSRNOG00000003888","Rgs13"
"497101",0.874433531373212,"497101","ENSRNOG00000067363","Xkrx"
"361245",0.870547644274309,"361245","ENSRNOG00000003094","Cmahp"
"81744",0.869987557597981,"81744","ENSRNOG00000013048","Pde7a"
"24484",0.868629058657466,"24484","ENSRNOG00000061910","Igfbp3"
"314251",0.865465604285304,"314251","ENSRNOG00000006911","Sptb"
"688173",0.865128886411128,"688173","ENSRNOG00000068106","Tcap"
"65047",0.864574518775862,"65047","ENSRNOG00000026065","Slit1"
"361276",0.862699231393754,"361276","ENSRNOG00000026493","Cdnf"
"29527",0.857833131827538,"29527","ENSRNOG00000002525","Ptgs2"
"29220",0.851431191938726,"29220","ENSRNOG00000012471","Thbs4"
"266735",0.844731527826366,"266735","ENSRNOG00000032472","Adgrg2"
"117516",0.841330958121902,"117516","ENSRNOG00000071047","Tnfsf11"
"25291",0.83860580828646,"25291","ENSRNOG00000002045","Anxa3"
"307555",0.838600129641653,"307555","ENSRNOG00000015383","Asxl3"
"365298",0.838390830270386,"365298","ENSRNOG00000011659","Alpk3"
"499532",0.836250379882543,"499532","ENSRNOG00000064070","Tmem267"
"302948",0.834417045808767,"302948","ENSRNOG00000005269","Srl"
"304554",0.834030914049627,"304554","ENSRNOG00000025612","Sez6l"
"500129",0.831079268907485,"500129","ENSRNOG00000057061","Hoxa13"
"287673",0.830587223764685,"287673","ENSRNOG00000010665","Ccr7"
"317219",0.830005896425685,"317219","ENSRNOG00000037839","P2ry10"
"361481",0.822233524461361,"361481","ENSRNOG00000070586","Prr18"
"252878",0.821451480376575,"252878","ENSRNOG00000008930","Tnfsf15"
"29353",0.814470915129282,"29353","ENSRNOG00000000920","Phkg1"
"288475",0.812629160904842,"288475","ENSRNOG00000001006","Nptx2"
"58968",0.811185564876047,"58968","ENSRNOG00000028992","Acan"
"306081",0.809796806239182,"306081","ENSRNOG00000013306","Pcdh20"
"29636",0.808758789014286,"29636","ENSRNOG00000018054","F2rl2"
"361898",0.807475774415557,"361898","ENSRNOG00000013555","Ankrd55"
"29195",0.807311012926233,"29195","ENSRNOG00000003304","Chad"
"25563",0.806933344338969,"25563","ENSRNOG00000001159","Tff3"
"25248",0.804700849687589,"25248","ENSRNOG00000008223","Cnr1"
"304822",0.803673979700071,"304822","ENSRNOG00000010076","Pkp1"
"100359662",0.80301238414993,"100359662","ENSRNOG00000025377","Ankdd1b"
"65035",0.80212194168437,"65035","ENSRNOG00000003260","Nr1i3"
"498226",0.800867576817441,"498226","ENSRNOG00000039745","Pm20d1"
"310377",0.797658126542481,"310377","ENSRNOG00000017581","C2h5orf34"
"407764",0.795824510071212,"407764","ENSRNOG00000048870","St6galnac4"
"24799",0.794312895854594,"24799","ENSRNOG00000011624","Eef1a2"
"117549",0.793486725160647,"117549","ENSRNOG00000002524","Gpr37"
"360998",0.793275474179526,"360998","ENSRNOG00000062590","LOC360998"
"500065",0.788767800845495,"500065","ENSRNOG00000007900","Tspan33"
"65180",0.787750931399364,"65180","ENSRNOG00000067416","Kcnd2"
"24153",0.786536689483544,"24153","ENSRNOG00000028896","A2m"
"680054",0.781173614841391,"680054","ENSRNOG00000065098","Hmgb1-ps4"
