"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T16-2460","T17-2463","T18-2747","T19-3847","T20-3849","Significance"
"Adm",291.641062362148,-2.08903768596618,4.6842619183011e-08,303.195201987466,562.21812869988,223.005066486904,407.064129675552,457.369309311609,696.36776486993,348.091549154168,133.646967858506,40.8053768264758,94.2508892073055,141.239251862089,92.439112405893,"p < 0.001"
"Csta3",19.6433063711028,-2.13724523450073,0.0303050413758615,22.5184765401832,46.1822034289187,10.7472321198508,32.4353888187691,39.2928959889698,9.17998936740021,42.9463599605791,15.3938915857965,0,6.7928568798058,6.80671093311272,3.42367082984789,"p < 0.05"
"Prdx1l1",24.01707701255,-2.1373113623964,0.00561933774158423,17.6930887101439,23.0911017144594,7.38872208239742,61.6272387556612,40.8646118285286,19.6714057872862,77.9815483494726,6.99722344808932,7.34496782876565,10.1892853197087,8.5083886663909,6.84734165969578,"p < 0.05"
"Trim10",27.9231642410701,-2.1941133601012,0.00160986493417735,27.3438643702224,60.2376566464157,24.852974277155,85.953780369738,56.5817702241166,9.17998936740021,25.9938494498242,11.1955575169429,8.16107536529516,4.24553554987862,11.0609052663082,10.2710124895437,"p < 0.05"
"Msx2",311.203699207989,-2.22143662786751,0.00215980807150229,352.253311592865,789.113302068046,182.031244029973,335.70627427426,702.556980282781,283.268243336921,594.468035243806,307.87783171593,39.9892692899463,54.3428550384464,28.928521465729,63.9085221571606,"p < 0.05"
"Myrf",919.867000304062,-2.28603724091105,0.0245963496703993,491.385327358997,2480.78749288822,470.863107250963,1088.2072948697,2833.8036587245,548.176507939041,1715.5940636884,806.779863564699,54.6792049474776,178.312493094902,133.581702062337,236.233287259504,"p < 0.05"
"Lgals5",52.7844501156634,-2.28969433000381,0.011616379111151,45.8411843853729,167.661477665857,46.3474385168565,68.114316519415,143.02614139985,27.5399681022006,54.2480336344157,39.1844513093002,2.44832260958855,4.24553554987862,8.5083886663909,26.2481430288338,"p < 0.05"
"Pou2af1",104.943429170831,-2.29933692887682,0.000154675135624129,65.9469670105365,124.491157069259,38.2870144269684,325.975657628629,191.749332426173,141.63412166846,212.471465068128,34.2863948956377,22.0349034862969,23.7749990793203,60.4095595313754,18.2595777591888,"p < 0.001"
"Endou",77.3857226039437,-2.31873530056903,3.65514819672193e-11,83.6400557206804,117.463430460511,86.649558966297,123.254477511322,180.747321549261,99.6684559889166,120.927908310052,10.495835172134,35.9087316072987,18.6803564194659,27.2268437324509,23.9656958089352,"p < 0.001"
"Cd19",23.720837723284,-2.34916340413275,0.00149618578474247,8.84654435507196,45.1782424848118,8.73212609737877,66.4925470784766,39.2928959889698,34.0971033646294,47.4670294301138,5.59777875847146,6.52886029223613,7.64196398978152,10.2100663996691,4.56489443979719,"p < 0.05"
"Cfi",631.488484290789,-3.3427511679346,3.89063213532647e-12,497.014946494043,2196.66654570596,642.147119161085,768.718715004827,1612.58045138732,344.905314803751,1018.28079801268,146.941692409876,135.4738510639,80.6651754476939,80.8296923307135,53.637509667617,"p < 0.001"
"Ooep",293.26663045622,-3.47962106931112,0.00864612962447565,236.444003671923,1000.94906127461,230.393788569301,400.577051911798,579.963144797195,116.717007671231,742.519960371065,98.6608506180594,0,68.7776759080337,4.25419433319545,39.9428263482254,"p < 0.05"
"Il17c",83.6072583686093,-3.58002727288548,7.73305524961254e-09,79.6188991956477,184.728813715675,51.0493525692913,311.379732660183,165.030163153673,39.3428115745723,116.407238840517,21.6913926890769,6.52886029223613,13.5857137596116,9.35922753302999,4.56489443979719,"p < 0.001"
