"","unique_genes","Entrez","Ensembl","Symbols"
"266733",1.44719402290856,"266733","ENSRNOG00000001792","Slc12a8"
"361341",1.44438667042609,"361341","ENSRNOG00000062986","Ccbe1"
"680711",1.44138778070022,"680711","ENSRNOG00000068266","Nxpe5"
"100361556",1.43830564149255,"100361556","ENSRNOG00000047072","Ly6m"
"494499",1.43701132243193,"494499","ENSRNOG00000000201","Gsta5"
"102553298",1.43338374625209,"102553298","ENSRNOG00000064053","Ctxnd1"
"310550",1.42993746385536,"310550","ENSRNOG00000047473","Dchs2"
"65202",1.42465530724645,"65202","ENSRNOG00000010337","Slc13a2"
"25420",1.42424350693402,"25420","ENSRNOG00000010524","Cryab"
"114028",1.42306527910366,"114028","ENSRNOG00000010649","Ctnnd2"
"316400",1.42168257964957,"316400","ENSRNOG00000013388","Pgap1"
"367994",1.41981418118371,"367994","ENSRNOG00000038896","Upk3bl1"
"407765",1.41797710499925,"407765","ENSRNOG00000046984","St6galnac6"
"360707",1.41006610659039,"360707","ENSRNOG00000051418","Tmem45a2"
"171148",1.40998030474092,"171148","ENSRNOG00000031662","Slc6a5"
"498246",1.40818752152214,"498246","ENSRNOG00000003888","Rgs13"
"305974",1.40186771597037,"305974","ENSRNOG00000014398","Scara5"
"289243",1.3992377190105,"289243","ENSRNOG00000046165","Mptx1"
"500865",1.38913580745439,"500865","ENSRNOG00000004200","Sybu"
"305235",1.38343824869342,"305235","ENSRNOG00000002256","Art3"
"65195",1.38303712569799,"65195","ENSRNOG00000014686","Kcnd3"
"66013",1.37773255285951,"66013","ENSRNOG00000007733","Arhgef9"
"100361292",1.37483166626422,"100361292","ENSRNOG00000042596","Spata31f1"
"315524",1.37370453655993,"315524","ENSRNOG00000008515","Tmem45b"
"291582",1.37206495440828,"291582","ENSRNOG00000058193","Slc27a6"
"54266",1.37097495029355,"54266","ENSRNOG00000008217","Madcam1"
"29195",1.37095597786007,"29195","ENSRNOG00000003304","Chad"
"59301",1.3698997752618,"59301","ENSRNOG00000010349","Ghrl"
"29197",1.3683182021315,"29197","ENSRNOG00000009848","Il18"
"25313",1.36687175812623,"25313","ENSRNOG00000053979","Egf"
"366251",1.36643471698657,"366251","ENSRNOG00000025384","Slc2a10"
"117183",1.36284546601337,"117183","ENSRNOG00000042960","Rgcc"
"295117",1.3596880099194,"295117","ENSRNOG00000021186","Otol1"
"686048",1.35933491527397,"686048","ENSRNOG00000047304","Btnl5"
"24212",1.35647431625501,"24212","ENSRNOG00000007290","Atp1a2"
"500820",1.33648763981101,"500820","ENSRNOG00000006367","Slc5a8"
"304965",1.333059764515,"304965","ENSRNOG00000003136","Fcrla"
"29242",1.33271421682586,"29242","ENSRNOG00000002916","Car4"
"316351",1.32754487473614,"316351","ENSRNOG00000013408","Npas2"
"316201",1.32703427118886,"316201","ENSRNOG00000053945","Daam2"
"114513",1.32412533456782,"114513","ENSRNOG00000056151","Rasgrf2"
"689210",1.31831373364694,"689210","ENSRNOG00000000491","Spdef"
"309242",1.31664410868943,"309242","ENSRNOG00000014840","Gna14"
"312192",1.30715534262007,"312192","ENSRNOG00000039300","Ahcyl2"
"298961",1.30631031925712,"298961","ENSRNOG00000005023","Agr2"
"25290",1.30622248133162,"25290","ENSRNOG00000012972","Alox5"
"688893",1.30143422166934,"688893","ENSRNOG00000066054","Tex48"
"294103",1.2975509774552,"294103","ENSRNOG00000011068","Papss2"
"100362555",1.29741345822618,"100362555","ENSRNOG00000009388","Sptssb"
