"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T6-2444","T7-2446","T8-3837","T9-3838","T10-3840","T36","T37","Significance"
"Ppfia2",25.6383224795586,-4.15989528556389,2.04105262595616e-08,27.3804578980441,54.3538918507908,24.1604552997742,42.1192251363761,113.519297995649,13.1134396518814,65.5669270008376,9.72263483529555,2.77064371817484,1.54546664352312,0,0.879296430488975,3.80477825298487,0,"p < 0.001"
"Rhcg",51.7149824541763,-4.20715402064692,3.04985357308344e-10,33.8229185799368,115.753658571129,19.4625889914848,93.9582714580698,247.535135907179,44.5856948163969,132.26431826031,12.9635131137274,4.84862650680598,7.7273332176156,3.33271051935786,0,6.34129708830812,1.4136873281463,"p < 0.001"
"Fcrlb",94.4731956654395,-4.25071899220254,1.84712600083347e-18,77.3095281827126,137.897836732562,40.2674254996236,246.235470028045,414.66076906744,123.266332727686,218.17960191658,9.72263483529555,10.3899139431557,18.5455997222774,7.99850524645886,6.15507501342283,6.34129708830812,5.65474931258522,"p < 0.001"
"Serpinb11",19.1212072283914,-4.35453904052604,0.000450268186043109,16.9114592899684,27.1769459253954,3.3556187916353,56.6989569143525,47.2997074981871,9.17940775631701,94.958997725351,11.3430739745115,0,0.77273332176156,0,0,0,0,"p < 0.001"
"Prl2a1",127.788372089966,-4.43730948581052,9.51047798273866e-10,385.742333328327,518.375079688097,287.912092322309,53.4590165192466,176.585574659898,194.078906847845,92.6980692080808,17.0146109617672,9.69725301361195,3.8636666088078,0,9.67226073537873,21.5604101002476,18.377935265902,"p < 0.001"
"Reg3g",9541.92845671324,-4.49083906648157,0.000322977439067724,8680.4104612652,50764.521881533,12374.8509797927,12436.5112066138,29825.6188914402,6567.21057766223,7248.53682636846,985.226996643283,56.7981962225843,72.6369322455867,13.3308420774314,4.39648215244488,3335.52226845007,1221.42585151841,"p < 0.001"
"Reg4",2684.84853549666,-4.68419585947301,0.00379480228235847,947.847027823466,3346.7905630348,31634.7605962626,27.5394933583998,7.88328458303118,194.078906847845,21.4788209140675,623.058849028523,88.660598981595,28.5911329051777,41.992152543909,94.0847180623204,311.99181674476,219.121535862677,"p < 0.05"
"Ooep",245.587974308475,-4.70936542746916,3.68999728267752e-13,236.760430059557,1003.53389213404,230.195449106182,400.132638795573,581.786402227701,116.709612901745,742.715017923281,47.8029546068698,4.15596557726227,29.3638662269393,7.99850524645886,7.0343714439118,21.5604101002476,8.48212396887782,"p < 0.001"
"Lgals2",1942.14278468675,-4.83064124692253,4.23041639197291e-09,1351.306128027,7299.52636485065,1859.68393432428,3056.88376278237,8739.40928874837,1414.94013843801,2545.80551044632,529.883598523608,29.7844199703796,168.45586414402,70.6534630103866,18.4652250402685,81.168602730344,24.0326845784872,"p < 0.001"
"Crisp3",276.861317430323,-5.33357279827736,5.00908937639e-08,307.627497560377,960.252089363971,233.551067897817,226.79582765741,901.847756298767,144.247836170696,1008.37411870254,68.8686634166768,3.46330464771855,6.18186657409248,3.33271051935786,2.63788929146693,8.87781592363137,0,"p < 0.001"
"Wfdc18",18.1582260174076,-5.60459929265696,3.11050938990003e-07,13.690228949022,62.4063202731302,6.7112375832706,19.4396423706351,56.7596489978245,15.7361275822577,74.6106410699187,4.86131741764778,0,0,0,0,0,0,"p < 0.001"
"Bnc1",50.7276170308405,-5.64321382180846,5.9789642079316e-12,35.43353375041,131.858515415807,21.4759602664659,155.517138965081,201.812085325598,24.9155353385747,125.4815327085,6.4817565568637,0,0,0.666542103871572,5.27577858293385,1.26825941766162,0,"p < 0.001"
"Serpinb13",97.0346779550716,-5.69262169729745,3.13007086160745e-07,71.6723750860565,258.684263067652,64.4278807993978,208.976155484328,387.857601485134,57.6991344682783,283.746528917418,21.875928379415,0.692660929543711,0.77273332176156,0.666542103871572,0,0,1.4136873281463,"p < 0.001"
"Reg3b",20582.2112746179,-5.74078384699961,2.28275597230172e-06,15068.9155349471,125702.433886929,23124.9113406755,23044.0760601904,62423.0006422741,12691.1868950909,20806.1946801796,1909.68752556597,90.7385817702261,22.4092663310853,4.665794727101,15.8273357488016,2443.93589783395,802.974402387101,"p < 0.001"
"Serpinb3a",66.8428579086473,-6.22548271163232,3.23127508639968e-06,32.2123034094636,112.733997912751,26.1738265747554,215.456036274539,145.052436327774,56.3877905030902,335.747884814634,11.3430739745115,0.692660929543711,0,0,0,0,0,"p < 0.001"
"Ugt2b7",95.7458411307517,-6.26643088331259,7.82938306131551e-06,84.557296449842,529.447168768814,150.331721865262,100.438152248281,290.104872655547,59.0104784334665,109.655033087608,16.2043913921593,0.692660929543711,0,0,0,0,0,"p < 0.001"
