"","unique_genes","Entrez","Ensembl","Symbols"
"24986",1.62956045845503,"24986","ENSRNOG00000045908","RT1-Ha"
"29209",1.62367025521029,"29209","ENSRNOG00000016243","Casq2"
"315979",1.6227144441488,"315979","ENSRNOG00000023007","Col6a6"
"308843",1.62215212812711,"308843","ENSRNOG00000027784","Tsku"
"54242",1.60549559855504,"54242","ENSRNOG00000011181","Cpa3"
"497948",1.60258842049741,"497948","ENSRNOG00000019606","Trpv3"
"252878",1.5960734483903,"252878","ENSRNOG00000008930","Tnfsf15"
"24949",1.58625892263897,"24949","ENSRNOG00000010365","Syn1"
"24784",1.58391304705593,"24784","ENSRNOG00000015159","Slc9a3"
"29358",1.57498050937687,"29358","ENSRNOG00000014149","Npy1r"
"307859",1.57096988178709,"307859","ENSRNOG00000021521","Chst5"
"29195",1.56903579767355,"29195","ENSRNOG00000003304","Chad"
"499308",1.56881895534966,"499308","ENSRNOG00000022428","Flrt1"
"25136",1.56723885885503,"25136","ENSRNOG00000014010","Gfra2"
"171118",1.56719840091162,"171118","ENSRNOG00000036571","Ces2c"
"494499",1.56691403203309,"494499","ENSRNOG00000000201","Gsta5"
"366214",1.5655047142465,"366214","ENSRNOG00000012728","Nkx2-2"
"288529",1.56313175538616,"288529","ENSRNOG00000001329","Gjc3"
"293140",1.55623884384581,"293140","ENSRNOG00000030788","Olr35"
"303812",1.55193951021926,"303812","ENSRNOG00000001707","Vwa5b2"
"500366",1.550665334987,"500366","ENSRNOG00000001840","Rep15"
"315179",1.54700923026249,"315179","ENSRNOG00000011094","Efcab6"
"29359",1.54357454823899,"29359","ENSRNOG00000003164","Pla2g10"
"84556",1.53503541255154,"84556","ENSRNOG00000011000","Rims1"
"294673",1.53191729568396,"294673","ENSRNOG00000025274","Hexb"
"24188",1.53113375925897,"24188","ENSRNOG00000017619","Aldh1a1"
"65204",1.53062108680377,"65204","ENSRNOG00000027736","Cnn1"
"84050",1.52961961137715,"84050","ENSRNOG00000004089","Enpp2"
"432360",1.52752749369271,"432360","ENSRNOG00000046905","Sgce"
"309962",1.52517675888362,"309962","ENSRNOG00000010280","Pde8b"
"366466",1.5235288164978,"366466","ENSRNOG00000025349","Maneal"
"304900",1.51998965048047,"304900","ENSRNOG00000005667","Astn1"
"79242",1.51893519351045,"79242","ENSRNOG00000010610","Hpgd"
"25302",1.51877552690909,"25302","ENSRNOG00000010853","Chrna7"
"24582",1.51617542238288,"24582","ENSRNOG00000057880","Myh11"
"25139",1.51484920280721,"25139","ENSRNOG00000017226","Slc2a4"
"498246",1.51482618378057,"498246","ENSRNOG00000003888","Rgs13"
"314930",1.51479470433698,"314930","ENSRNOG00000004109","Zfpm2"
"297960",1.51459631270855,"297960","ENSRNOG00000007331","Rragd"
"432363",1.5145545036589,"432363","ENSRNOG00000022711","Slco4c1"
"293631",1.51409669990356,"293631","ENSRNOG00000020021","Brsk2"
"116635",1.50730478795524,"116635","ENSRNOG00000010784","Scg3"
"78962",1.50422590682836,"78962","ENSRNOG00000018413","Per3"
"56266",1.5011343153534,"56266","ENSRNOG00000004786","Cyp4f1"
"29362",1.49735579040454,"29362","ENSRNOG00000019383","Tef"
"25662",1.49318937600758,"25662","ENSRNOG00000016957","Igfbp2"
"303173",1.49192396505981,"303173","ENSRNOG00000014712","Zfp39"
"116694",1.491668447414,"116694","ENSRNOG00000018480","Capn9"
"291164",1.48938992711193,"291164","ENSRNOG00000051823","Zkscan4"
"497815",1.48827834759726,"497815","ENSRNOG00000004067","Nrcam"
"293181",1.48492650607211,"293181","ENSRNOG00000017021","Galnt18"
"24167",1.48451529392194,"24167","ENSRNOG00000012098","Adcyap1r1"
"500139",1.48319197578238,"500139","ENSRNOG00000012165","Itprid1"
"313558",1.47963351348579,"313558","ENSRNOG00000032639","Foxo6"
"29458",1.47663414781038,"29458","ENSRNOG00000005609","Neurod1"
"305604",1.4746665044634,"305604","ENSRNOG00000003553","Efemp1"
"361341",1.47414195891337,"361341","ENSRNOG00000062986","Ccbe1"
"114513",1.4729597664386,"114513","ENSRNOG00000056151","Rasgrf2"
"29290",1.47240463831965,"29290","ENSRNOG00000003442","Adora1"
"361303",1.46988263832863,"361303","ENSRNOG00000016021","Lims2"
"360593",1.46834573388423,"360593","ENSRNOG00000024730","Ppm1e"
"501072",1.4675518405351,"501072","ENSRNOG00000067803","Acaa1b"
"29627",1.46483778364356,"29627","ENSRNOG00000054204","Gria2"
"171114",1.46308022384646,"171114","ENSRNOG00000010389","Ndrg2"
"687808",1.46174361864994,"687808","ENSRNOG00000049063","Slc16a9"
"497757",1.45842240948999,"497757","ENSRNOG00000012302","Gucy1a1"
"24922",1.45823081210569,"24922","ENSRNOG00000060599","Gabrb3"
"298006",1.45329391000923,"298006","ENSRNOG00000034290","Ccl21"
"305235",1.45209521820054,"305235","ENSRNOG00000002256","Art3"
"362539",1.45157063329889,"362539","ENSRNOG00000006956","Adamtsl1"
"299737",1.44975805562095,"299737","ENSRNOG00000005573","Ntn4"
"106146145",1.44816120590007,"106146145","ENSRNOG00000017893","Baiap3"
"83521",1.44765180154024,"83521","ENSRNOG00000011901","Rrad"
"297333",1.44104962948082,"297333","ENSRNOG00000006776","Smyd1"
"24804",1.44015022919755,"24804","ENSRNOG00000059720","Syp"
"25549",1.43798238735531,"25549","ENSRNOG00000008890","Slc18a2"
"316384",1.42523614227648,"316384","ENSRNOG00000025895","Cavin2"
"66013",1.4209388679171,"66013","ENSRNOG00000007733","Arhgef9"
"360824",1.41587023324014,"360824","ENSRNOG00000053045","Wscd2"
"24768",1.41364504319618,"24768","ENSRNOG00000017842","Scnn1g"
"26760",1.41335010016817,"26760","ENSRNOG00000017899","Akr7a3"
"304816",1.4126862517016,"304816","ENSRNOG00000051548","Lmod1"
"548326",1.40516768318766,"548326","ENSRNOG00000004441","Fcmr"
"24688",1.40425848737273,"24688","ENSRNOG00000052880","Prph"
"113995",1.40148289231015,"113995","ENSRNOG00000019208","P2rx5"
"362580",1.40132821009643,"362580","ENSRNOG00000008560","Ccdc30"
"306055",1.40039244913301,"306055","ENSRNOG00000008970","Pcdh17"
"295052",1.39940114911328,"295052","ENSRNOG00000014052","Ccna1"
"365948",1.39911313680548,"365948","ENSRNOG00000032247","Bank1"
"691857",1.39719312885219,"691857","ENSRNOG00000066086","Pygo1"
"300520",1.39651659846034,"300520","ENSRNOG00000033490","Vsig2"
"304741",1.39510603531156,"304741","ENSRNOG00000002414","Tfcp2l1"
"56764",1.39501783172749,"56764","ENSRNOG00000016432","Samd13"
"29316",1.3943277295754,"29316","ENSRNOG00000002922","Adora2b"
"289459",1.39001886771942,"289459","ENSRNOG00000002057","Slc10a6"
"499669",1.38925246152562,"499669","ENSRNOG00000020875","Celf3"
"690286",1.38762199986988,"690286","ENSRNOG00000067479","Hlf"
"25659",1.38674951791577,"25659","ENSRNOG00000008047","Khk"
"266780",1.37523409101511,"266780","ENSRNOG00000022893","Rimbp2"
"679701",1.37513763714627,"679701","ENSRNOG00000008592","Barx2"
"171147",1.37330791367094,"171147","ENSRNOG00000015741","Slc2a13"
"288593",1.3727332427042,"288593","ENSRNOG00000031162","Ccl24"
"307548",1.37043527363822,"307548","ENSRNOG00000016671","Dtna"
"29242",1.36911972022253,"29242","ENSRNOG00000002916","Car4"
"689746",1.36309638608602,"689746","ENSRNOG00000019339","Ttll11"
"103691034",1.35991048185619,"103691034","ENSRNOG00000014791","Peg3"
"100912563",1.35971466121779,"100912563","ENSRNOG00000068937","Insm1"
"685180",1.35663828742042,"685180","ENSRNOG00000070368","Stx19"
"65202",1.35497078766162,"65202","ENSRNOG00000010337","Slc13a2"
"301118",1.35462531298066,"301118","ENSRNOG00000047368","Acer1"
"309902",1.35288873561783,"309902","ENSRNOG00000000277","Tet1"
"24831",1.35014885384235,"24831","ENSRNOG00000006649","Thrb"
"308777",1.34703673958347,"308777","ENSRNOG00000019249","Ap3b2"
"24783",1.34600324059824,"24783","ENSRNOG00000015567","Slc9a2"
"100361292",1.34256225412388,"100361292","ENSRNOG00000042596","Spata31f1"
"686977",1.34177610246352,"686977","ENSRNOG00000068088","Btnl4"
"24483",1.33919636278316,"24483","ENSRNOG00000020369","Igf2"
"682937",1.3379407008714,"682937","ENSRNOG00000048898","Wasf3"
"79212",1.33716935726802,"79212","ENSRNOG00000006527","Slc6a1"
"24190",1.33429274347657,"24190","ENSRNOG00000006807","Aldob"
"310256",1.33394764685002,"310256","ENSRNOG00000027971","Lrrc31"
"501164",1.33179879667118,"501164","ENSRNOG00000037793","Cdk5r2"
"317379",1.33089135953744,"317379","ENSRNOG00000010092","Magix"
"83630",1.32932165582068,"83630","ENSRNOG00000008020","Pax4"
"83817",1.32489029677808,"83817","ENSRNOG00000050841","Ache"
"303692",1.3230139709799,"303692","ENSRNOG00000012083","St6galnac2"
"290551",1.31822722633998,"290551","ENSRNOG00000015859","Chdh"
"85497",1.31791190847583,"85497","ENSRNOG00000017808","Klf15"
"192253",1.31764865843624,"192253","ENSRNOG00000016483","Myo16"
"81680",1.31754116198979,"81680","ENSRNOG00000011696","Lifr"
"314997",1.31709086953973,"314997","ENSRNOG00000025300","Fer1l6"
"25229",1.31608258853841,"25229","ENSRNOG00000018385","Chrm1"
"310315",1.31400375229436,"310315","ENSRNOG00000011440","Ccdc39"
"25667",1.3136684282592,"25667","ENSRNOG00000002381","Bmp3"
"681381",1.31341376034414,"681381","ENSRNOG00000053820","Zcwpw2"
"363496",1.3128880543366,"363496","ENSRNOG00000037707","Armcx6"
"307305",1.31189951908497,"307305","ENSRNOG00000030486","Prdm6"
"406005",1.30989455302155,"406005","ENSRNOG00000064497","Olr1585"
"500820",1.30955336165989,"500820","ENSRNOG00000006367","Slc5a8"
"64455",1.30612347916253,"64455","ENSRNOG00000003348","Rasd1"
"364676",1.30450362713622,"364676","ENSRNOG00000017974","Gprin1"
"25375",1.30322274738274,"25375","ENSRNOG00000002331","Aldh3a1"
"29714",1.3017503813372,"29714","ENSRNOG00000005003","Ptprn2"
"299616",1.30030807739626,"299616","ENSRNOG00000024975","Atp8b3"
"24767",1.29119342371725,"24767","ENSRNOG00000030981","Scnn1b"
"171574",1.29008771115296,"171574","ENSRNOG00000026490","Dnm3"
"689560",1.28819046414251,"689560","ENSRNOG00000017060","Ryr2"
"300663",1.28649006531945,"300663","ENSRNOG00000039086","Ccdc153"
"100360457",1.28446953476402,"100360457","ENSRNOG00000061764","Fmn2"
"65129",1.2838299283452,"65129","ENSRNOG00000001926","Cldn1"
"316351",1.28281406847553,"316351","ENSRNOG00000013408","Npas2"
"502338",1.28269967324039,"502338","ENSRNOG00000037156","Mrgprb2"
"361192",1.2823086844237,"361192","ENSRNOG00000047406","Cfap90"
"25736",1.28118689953984,"25736","ENSRNOG00000046949","Kcnb1"
"81641",1.27878198038067,"81641","ENSRNOG00000014610","Anpep"
"282583",1.27849099307648,"282583","ENSRNOG00000007338","Fbln2"
"25656",1.27826421306154,"25656","ENSRNOG00000008849","Guca2a"
"305264",1.27777181926813,"305264","ENSRNOG00000062781","Ugt2b10"
"120098113",1.27745824714278,"120098113","ENSRNOG00000070011","Carmn"
"312913",1.27539720185188,"312913","ENSRNOG00000005655","Cpa6"
"363256",1.27449923461026,"363256","ENSRNOG00000019850","Speg"
