"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T11-2451","T12-2454","T13-3843","T14-3845","T15-3888","Significance"
"Ooep",285.548720957918,-4.45899156661527,3.07634338737396e-07,236.493136424139,1006.95397079038,231.397149359227,400.83616545542,581.938616373277,117.049699510218,744.165518344536,3.09172958414626,42.0403179772421,9.68942660012276,48.4859035240446,4.44301755226541,"p < 0.001"
"Prr9",70.4653162712891,-4.51954356174534,0.000303771675384492,87.6794281300378,152.507572306266,39.1283809412105,50.3073729923806,75.699332211158,42.085285217157,372.649095183185,0,16.3013477870939,1.29192354668303,7.9340569402982,0,"p < 0.001"
"Ppfia2",28.9944767765311,-5.13074557305532,5.61100951096755e-09,27.3495463891861,54.5391318181348,24.2865812738548,42.1932805742547,113.548998316737,13.1516516303616,65.6949772663365,3.09172958414626,3.43186269201976,0.645961773341517,0,0,"p < 0.001"
"Lgals2",2228.64758495006,-5.46205989089712,3.66174814300028e-11,1349.78055414866,7324.403406391,1869.39213082921,3062.25847860072,8741.69580096768,1419.06321091601,2550.77739316879,8.24461222439002,200.763967483156,33.5900122137589,128.708034809282,55.0934176480911,"p < 0.001"
"Lyg2",65.7013144026077,-5.63045537816876,6.66837856069859e-09,34.5891321980883,158.567475841614,34.4059901379609,115.220112337388,285.449565212908,36.8246245650124,112.134530161505,0,8.5796567300494,0,2.64468564676607,0,"p < 0.001"
"Reg4",3072.76173007023,-5.65169481827076,0.0069982619017553,946.776944119766,3358.19654250552,31799.9050418248,27.5879142216281,7.88534710532896,194.644444129351,21.5207684148344,149.433596567069,36.8925239392124,59.4284831474196,19.3943614096178,251.474793458222,"p < 0.05"
"Crisp3",319.34185571926,-6.00280020931239,3.51586788346176e-08,307.280197666738,963.524662120382,234.770285647263,227.194587707525,902.083708849633,144.668167933977,1010.34344347538,0,9.43762240305434,1.93788532002455,29.9731039966821,0.888603510453082,"p < 0.001"
"Reg3b",23864.6061470586,-6.15197979128181,0.000179755332119033,15051.9032951309,126130.83218474,23245.631415367,23084.5929295682,62439.3325188368,12728.1684478639,20846.8285618435,11.3363418085363,0,51.0309800939799,19.3943614096178,2766.22272804044,"p < 0.001"
"Bnc1",58.7024026687412,-6.20757053922738,2.6674088981386e-12,35.3935306212997,132.307893855105,21.5880722434265,155.790574428017,201.864885896421,24.988138097687,125.726594423506,3.09172958414626,0.85796567300494,1.93788532002455,0.881561882255356,0,"p < 0.001"
"Serpinb13",112.222560628386,-6.41102397296825,4.01048213603536e-15,71.5914596658107,259.565868097419,64.7642167302794,209.343584387648,387.959077582185,57.8672671735909,284.30067748018,0,6.86372538403952,0,3.52624752902142,0.888603510453082,"p < 0.001"
"Ugt2b7",111.006271372589,-7.51550713163512,2.08432621102493e-17,84.4618344371924,531.251543265536,151.116505703985,100.614745984761,290.180773476106,59.182432336627,109.869186117839,1.03057652804875,1.71593134600988,0,1.76312376451071,0.888603510453082,"p < 0.001"
"Slc10a2",17.3736834097919,-7.56482795189023,1.60991420956763e-08,8.84838265532491,68.6789067339476,12.1432906369274,14.6053663526266,69.3910545268948,22.3578077716147,12.4593922401673,0,0,0,0,0,"p < 0.001"
"Wfdc18",20.8188921107143,-7.82843491066082,3.43508862454854e-09,13.674773194593,62.6190031985993,6.74627257607077,19.4738218035022,56.7744991583685,15.7819819564339,74.7563534410036,0,0,0,0,0,"p < 0.001"
"Serpinb3a",77.1237947380754,-9.71901755975683,1.08625033605072e-14,32.1759369284542,113.118199326502,26.310463046676,215.834858322149,145.090386738053,56.5521020105547,336.403590484516,0,0,0,0,0,"p < 0.001"
