"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T38","T39","T40","T41","T22-2854","T23-3024","T24-4404","Significance"
"Apoa1",40.1114044402348,2.82863586830366,4.29654049407396e-05,11.6501011985198,16.92742765753,7.00579138898033,3.88967396044998,8.82045785871524,10.5616026913557,9.95921393124665,49.0585900100958,19.1287040009103,32.0400528291949,13.0271415464966,237.525822582078,86.200273580285,55.7648089274283,"p < 0.001"
"Ptgis",37.5853721393925,2.80373424925681,8.11102631747578e-05,4.53059491053548,5.64247588584333,6.46688435905877,9.07590590771661,3.78019622516367,15.8424040370336,20.8238109471521,122.64647502524,21.5197920010241,23.7716520990801,9.01879030142072,137.643168983461,70.3212758154957,75.1117834532708,"p < 0.001"
"Cyp2c24",146.429429045359,2.78409740624465,0.0131542158376506,16.1806961090553,21.7638355596814,145.504898078822,14.2621378549833,3.78019622516367,52.8080134567785,4.52691542329393,571.639222726334,240.304344011435,117.824710404136,11.0229659239587,419.019912657615,320.982597673956,110.391560529807,"p < 0.05"
"Hoxa13",539.960861034385,2.7766816670447,0.000880047368917169,117.795467673923,63.6793707116604,15.0893968378038,239.863227561082,226.81177350982,49.6395326493718,250.791114450484,1088.88740000669,70.5370960033567,464.063990977693,586.221369592347,1331.36268760109,1630.99991326908,1423.709713637,"p < 0.001"
"Nek5",32.2298159341655,2.76281748469884,0.0121447038509971,5.82505059925991,5.64247588584333,23.1730022866273,2.59311597363332,1.26006540838789,16.8985643061691,1.81076616931757,199.433833301911,21.5197920010241,8.26840073011481,1.00208781126897,87.701842184152,47.636993294368,28.4514331262389,"p < 0.05"
"Pck1",835.289486837114,2.75561766335198,7.85704094585715e-06,208.407365884632,154.765052868846,513.039492485329,76.4969212221829,154.988045231711,289.387913743146,109.551353243713,1372.57402919551,529.625992025204,994.275187796305,378.78919265967,2598.1670747055,1458.59936610851,2855.38582854934,"p < 0.001"
"Glt1d1",86.2691686204466,2.64944835810068,3.04177788928738e-05,43.3642655722682,25.7941754781409,21.017374166941,10.3724638945333,15.1207849006547,35.9094491506094,13.5807462698818,252.758387660711,22.715336001081,87.8517577574698,24.0501074704553,247.270471713651,176.937403664796,231.02563698506,"p < 0.001"
"Aldh8a1",19.8592580652465,2.59502623040291,0.00213199968437827,1.94168353308664,16.1213596738381,13.4726757480391,2.59311597363332,0,3.16848080740671,0.905383084658787,63.9894652305598,29.8886000014223,10.3355009126435,43.0897758845657,41.4147588091829,30.6237814035223,20.485031850892,"p < 0.05"
"Hoxa11-as",1281.26801235195,2.57959146930078,0.00607527026636668,149.509632047671,430.440303291477,55.5074240819211,579.561420107047,643.893423686213,108.784507720964,603.890517467411,6249.63777085134,124.336576005917,670.774009230564,1140.37592922409,2595.73091242261,2664.26898210644,1921.04076468365,"p < 0.05"
"Slc10a2",13.4146956506332,-2.95815168461673,0.0120614070991951,7.11950628798433,54.8126228910495,9.70032653858816,11.6690218813499,55.4428779690672,17.9547245753047,9.95921393124665,0,1.19554400005689,0,14.0292293577656,3.65424342433967,2.26842825211276,0,"p < 0.05"
"Prok2",24.4848421405912,-2.97200522425305,0.000132356948296657,20.0640631752286,32.2427193476762,22.0951882267841,81.6831531694495,13.8607194922668,86.6051420691168,47.9853034869157,0,1.19554400005689,10.3355009126435,15.0313171690345,4.87232456578622,3.40264237816915,3.41417197514867,"p < 0.001"
